Symbol;Name;Sector;Price;Price/Earnings;Dividend Yield;Earnings/Share;52 Week Low;52 Week High;Market Cap;EBITDA;Price/Sales;Sales;Price/Book;SEC Filings
BAC;Bank of America Corp;Financials;29,74;16,34;1.536;1,55;32,67;22,07;321478200969.00;0.00;32.011.874;952.033.133;1,24;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BAC
BAX;Baxter International Inc.;Health Care;62,56;25,12;0,97635394;1,29;72,58;48,15;35713732553.00;1832000000.00;34.394.414;2.151.714.540;3,77;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BAX
BBT;BB&T Corporation;Financials;51,07;16,26;24.526.198;2,74;55,99;41,17;42087562920.00;0.00;34.552.107;1.764.576.104;1,55;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BBT
BDX;Becton Dickinson;Health Care;211,44;22,28;13.518.385;4,65;2.483.888;175,66;50910180308.00;1537000000.00;56.912.947;12.033.673.514;3,98;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BDX
BRK.B;Berkshire Hathaway;Financials;191,42;30,43;0;9,76;217,62;160,93;261401203633.00;0.00;14.328.232;2.742.710.169;1,58;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BRK.B
BBY;Best Buy Co. Inc.;Consumer Discretionary;68,79;19,22;19.085.041;3,81;78,59;41,67;20831186176.00;2555000000.00;0,76715523;53;4,79;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BBY
BIIB;Biogen Inc.;Health Care;311,79;14,3;0;11,94;370,57;244,28;69157726427.00;6511400000.00;5.737.439;1.788.876.106;5,51;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BIIB
BLK;BlackRock;Financials;509,38;22,49;21.643.558;30,3;594,52;368;85907759858.00;5684000000.00;69.158.196;35.227.801.878;2,95;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BLK
HRB;Block H&R;Financials;25,19;12,29;37.296.038;1,92;31,8;19,85;5381433872.00;894754000.00;20.188.456;508.547.207;205,41;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HRB
BA;Boeing Company;Industrials;329,66;27,29;19.648.397;13,47;361,45;163,69;205617405233.00;12476000000.00;21.560.605;7.107.669.044;182,86;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BA
BWA;BorgWarner;Consumer Discretionary;51,94;14,15;12.363.636;0,55;58,22;37,54;11596117445.00;867900000.00;15.831.376;822.281.669;2,89;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BWA
BXP;Boston Properties;Real Estate;112,09;18,05;27.744.062;2,93;140,13;111,87;17799878487.00;1546846000.00;6.839.459;766.634.959;3,15;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BXP
BSX;Boston Scientific;Health Care;25,2;20;0;0,07;29,93;23,29;36142506007.00;1726000000.00;4.055.685;102.203.262;4,78;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BSX
BHF;Brighthouse Financial Inc;Financials;55,44;22,63;0;-24,62;75;52.751;7066613254.00;0.00;14.188.358;786.602.568;0,51;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BHF
BMY;Bristol-Myers Squibb;Health Care;62,69;20,83;25.546.863;2,65;66,1;51,12;102506501960.00;5170000000.00;6.503.231;407.687.551;6,75;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BMY
AVGO;Broadcom;Information Technology;229,57;15,94;29.488.583;4,01;285,68;202,61;92791974933.00;7016000000.00;6.961.893;1.598.241.776;4,4;http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AVGO
